Municipio;POP_TOT;POP_URB;Ano_Ref;Prestador;Tipo_Serv;Nat_Jur;AG001;ES001;FN001;FN002;FN003;FN006;FN007;FN023;FN024;FN038
"Fazenda Vilanova";3212;1487;2008;"Associacao de Desenvolvimento Comunitario";"Agua";"Organizacao social";612;NA;160543;160543;NA;NA;NA;5000;NA;NA
"Fazenda Vilanova";3248;1503;2009;"Associacao de Desenvolvimento Comunitario";"Agua";"Organizacao social";2450;NA;264000;264000;NA;NA;NA;13000;NA;NA
"Fazenda Vilanova";3993;2174;2013;"Associacao de Desenvolvimento Comunitario";"Agua";"Organizacao social";630;NA;215727.5;215727.5;NA;215727.5;NA;48842.7;NA;NA
"Fazenda Vilanova";4533;2468;2019;"Associacao de Desenvolvimento Comunitario";"Agua";"Organizacao social";2500;NA;373145.77;373145.77;NA;374167.65;NA;13630.17;NA;NA
"Fazenda Vilanova";4608;2509;2020;"Associacao de Desenvolvimento Comunitario";"Agua";"Organizacao social";2600;NA;401387.98;401387.98;NA;401983.98;NA;25003.14;NA;NA
"Itacurubi";3601;1204;2006;"Prefeitura Municipal de Itacurubi";"Agua";"Autarquia";2700;NA;132020.46;132020.46;NA;132020.46;NA;19847.93;NA;NA
"Itacurubi";3568;1168;2007;"Prefeitura Municipal de Itacurubi";"Agua";"Autarquia";2770;NA;126243.07;126243.07;NA;126243.07;NA;8050;NA;NA
"Ivoti";21450;19494;2013;"Agua de Ivoti";"Agua";"Autarquia";21450;NA;4085310.78;4085310.78;NA;4087921.46;NA;463778.57;NA;NA
"Ivoti";21739;19757;2014;"Agua de Ivoti";"Agua";"Autarquia";21739;NA;4884485.2;4884485.2;NA;5104094.39;NA;680652.43;NA;NA
"Ivoti";22012;20005;2015;"Agua de Ivoti";"Agua";"Autarquia";22012;NA;5192992.42;5192992.42;NA;5426236.2;NA;329654.08;NA;NA
"Ivoti";22270;20240;2016;"Agua de Ivoti";"Agua";"Autarquia";22270;NA;5986075.1;5986075.1;NA;6386805.85;NA;248004.3;25961.83;NA
"Ivoti";22514;20461;2017;"Agua de Ivoti";"Agua";"Autarquia";22514;NA;6687075.04;6687075.04;NA;7035739.55;NA;29500;NA;NA
"Mato Leitao";3827;1627;2009;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";3827;NA;171819;171819;NA;NA;NA;21005;NA;NA
"Mato Leitao";3865;1621;2010;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";3865;NA;450427;450427;NA;450427;NA;NA;NA;NA
"Mato Leitao";3916;1642;2011;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";3916;NA;528909;528909;NA;528909;NA;68379;NA;NA
"Mato Leitao";3964;1663;2012;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";3964;NA;493092.21;493092.21;NA;531359.26;NA;64750.36;NA;NA
"Mato Leitao";4126;1730;2013;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";4126;NA;520547.56;520547.56;NA;585519.78;NA;85160.88;NA;NA
"Mato Leitao";4161;1745;2014;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";4161;NA;536300.54;536300.54;NA;607519.18;NA;72512.98;NA;NA
"Mato Leitao";4201;1762;2015;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";4201;NA;692873.53;692873.53;NA;711348.49;NA;68282.92;NA;NA
"Mato Leitao";4240;1778;2016;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";4240;NA;645462.62;645462.62;NA;770402.5;NA;23931.82;NA;NA
"Mato Leitao";4276;1793;2017;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";4276;NA;707076.36;707076.36;NA;812760;NA;34000;NA;NA
"Mato Leitao";4456;1869;2018;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";4456;NA;747027.19;747027.19;NA;765782.49;NA;95525.71;NA;NA
"Mato Leitao";4515;1894;2019;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";4515;NA;832549.24;832549.24;NA;923680.94;NA;115800;NA;NA
"Mato Leitao";4573;1918;2020;"Associacoes Hidricas Comunitarias";"Agua";"Organizacao social";4573;NA;881216.56;881216.56;NA;1433539.8;NA;200541.68;NA;NA
"Novo Machado";3925;1553;2010;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";1800;NA;108880;108880;NA;108888;NA;NA;NA;NA
"Novo Machado";3865;1529;2011;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";1800;NA;108880;108880;NA;108880;NA;NA;NA;NA
"Novo Machado";3806;1506;2012;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";1765;NA;125640;125640;NA;125640;NA;NA;NA;NA
"Novo Machado";3907;1546;2013;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";1765;NA;150768;150768;NA;150768;NA;NA;NA;NA
"Novo Machado";3866;1530;2014;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";1685;NA;150768;150768;NA;150768;NA;NA;NA;NA
"Novo Machado";3828;1515;2015;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";1785;NA;184272;184272;NA;184272;NA;NA;NA;NA
"Novo Machado";3791;1500;2016;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";1785;NA;184272;184272;NA;184272;NA;NA;NA;NA
"Novo Machado";3757;1487;2017;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";1785;NA;209400;209400;NA;209400;NA;NA;NA;NA
"Novo Machado";3394;1343;2018;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";1680;NA;209400;209400;NA;209400;NA;NA;NA;NA
"Novo Machado";3323;1315;2019;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";1730;NA;293160;293160;NA;193160;NA;NA;NA;NA
"Novo Machado";3256;1288;2020;"Associacao de Novo Machado e Vila Pratos";"Agua";"Organizacao social";2094;NA;293160;293160;NA;293160;NA;NA;NA;NA
"Sao Francisco de Paula";20600;13044;2011;"Sanea Projetos e Construcoes Ltda";"Agua";"Empresa privada";13930;NA;734071.76;734071.76;NA;734071.76;NA;315000;NA;NA
"Tabai";4338;1284;2009;"Sociedade Abastecedora de Agua Trevo Tabai";"Agua";"Organizacao social";850;NA;26429;26429;NA;32451;NA;6626;NA;NA
"Tabai";4131;1246;2010;"Sociedade Abastecedora de Agua Trevo Tabai";"Agua";"Organizacao social";1150;NA;71897.38;71897.38;NA;79397.38;NA;14516.34;NA;NA
"Tabai";4175;1259;2011;"Sociedade Abastecedora de Agua Trevo Tabai";"Agua";"Organizacao social";1150;NA;72000;72000;NA;104111.02;NA;19882;NA;NA
"Tabai";4769;1438;2020;"Sociedade Abastecedora de Agua Trevo Tabai";"Agua";"Organizacao social";2636;NA;295865.71;295865.71;NA;495348.8;NA;21932.63;NA;NA
